Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
145,PAYTM.NS,BOUGHT,2024-11-19,790.93,21,Entry,55.41,36.85,128.84,86.71,96.0,724.51,Up,,,
146,WOCKPHARMA.NS,SOLD,2024-11-19,1158.18,15,"Close < ST(15,3) (T-1)",58.16,23.38,87.0,133.31,99.0,974.2,Up,4.77,791.71,26.0
147,CHOICEIN.NS,BOUGHT,2024-11-18,530.64,31,Entry,61.56,34.11,59.56,90.28,97.0,491.21,Up,,,
148,DEEPAKFERT.NS,BOUGHT,2024-11-18,1289.41,12,Entry,58.65,34.93,132.01,144.58,99.0,1155.48,Up,,,
149,TARIL.NS,SOLD,2024-11-18,429.34,37,"Close < ST(15,3) (T-1)",65.91,14.76,25.94,211.48,99.0,385.83,Up,-2.69,-438.54,26.0
150,MCX.NS,SOLD,2024-11-14,1186.03,12,"Close < ST(15,3) (T-1)",66.27,64.21,69.59,110.18,98.0,1203.27,Up,-8.03,-1243.03,22.0
151,PGEL.NS,BOUGHT,2024-11-13,653.15,25,Entry,56.03,49.94,208.84,230.54,99.0,588.57,Up,,,
152,PPLPHARMA.NS,SOLD,2024-11-13,248.75,67,"Close < ST(15,3) (T-1)",60.75,44.71,73.59,76.07,96.0,214.89,Up,0.29,48.65,15.0
153,GVT&D.NS,BOUGHT,2024-11-01,1829.1,9,Entry,56.06,7.31,56.22,179.77,99.0,1662.45,Up,,,
154,SARDAEN.NS,SOLD,2024-10-31,435.21,36,"Close < ST(15,3) (T-1)",66.82,86.61,122.03,84.17,97.0,430.51,Up,-5.24,-866.59,23.0
155,BSE.NS,BOUGHT,2024-10-30,1438.15,11,Entry,56.02,77.59,33.44,88.24,97.0,1347.21,Up,,,
156,PPLPHARMA.NS,BOUGHT,2024-10-29,248.02,67,Entry,60.75,44.71,73.59,76.07,96.0,214.89,Up,,,
157,ANANTRAJ.NS,SOLD,2024-10-28,660.58,22,"Close < ST(15,3) (T-1)",76.94,66.8,137.28,140.65,99.0,655.79,Up,-9.51,-1526.83,31.0
158,DIXON.NS,SOLD,2024-10-28,14029.5,1,"Close < ST(15,3) (T-1)",58.18,36.23,97.93,127.47,98.0,14261.89,Up,-6.09,-909.82,5.0
159,WOCKPHARMA.NS,BOUGHT,2024-10-24,1105.4,15,Entry,58.16,23.38,87.0,133.31,99.0,974.2,Up,,,
160,DIXON.NS,BOUGHT,2024-10-23,14939.32,1,Entry,58.18,36.23,97.93,127.47,98.0,14261.89,Up,,,
161,MCX.NS,BOUGHT,2024-10-23,1289.62,12,Entry,66.27,64.21,69.59,110.18,98.0,1203.27,Up,,,
162,TARIL.NS,BOUGHT,2024-10-23,441.19,37,Entry,65.91,14.76,25.94,211.48,99.0,385.83,Up,,,
