Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
SAILIFE,Healthcare,86.4,86.4,26.5,25.84
SAMMAANCAP,Financial Services,3.8,3.8,-11.2,57.76
MOTHERSON,Automobile and Auto Components,16.5,16.5,14.5,5.52
SAPPHIRE,Consumer Services,,,7.6,3.96
SARDAEN,Metals & Mining,-3.5,-3.5,-3.3,17.23
SAREGAMA,Media Entertainment & Publication,-17.7,-17.7,-46.1,27.02
SCHAEFFLER,Automobile and Auto Components,35.9,35.9,27.5,14.39
SCHNEIDER,Capital Goods,-12.2,-12.2,20.1,15.95
SCI,Services,436.2,436.2,22.5,25.24
SHREECEM,Construction Materials,37.9,37.9,5.0,4.95
SHRIRAMFIN,Financial Services,-22.1,-22.1,21.4,61.27
SHYAMMETL,Capital Goods,-0.2,-0.2,17.8,6.14
ENRIN,Capital Goods,35.0,35.0,26.0,22.42
SIEMENS,Capital Goods,-54.9,-54.9,14.0,9.15
SIGNATURE,Realty,,,-65.6,-25.02
SOBHA,Realty,-28.9,-28.9,-23.0,1.17
SOLARINDS,Chemicals,41.7,41.7,29.2,25.32
SONACOMS,Automobile and Auto Components,-0.3,-0.3,38.2,18.43
SONATSOFTW,Information Technology,-0.6,-0.6,8.4,5.64
STARHEALTH,Financial Services,-40.4,-40.4,10.2,3.79
SBIN,Financial Services,13.1,13.1,14.5,29.68
SAIL,Metals & Mining,163.6,163.6,11.8,2.85
SUMICHEM,Chemicals,-13.0,-13.0,-11.5,14.57
SUNPHARMA,Healthcare,16.0,16.0,13.5,26.17
SUNTV,Media Entertainment & Publication,-10.7,-10.7,4.2,35.54
SUNDARMFIN,Financial Services,18.9,18.9,18.6,61.69
SUNDRMFAST,Automobile and Auto Components,0.2,0.2,6.9,11.86
SUPREMEIND,Capital Goods,-18.0,-18.0,7.1,7.6
SUZLON,Capital Goods,15.1,15.1,42.4,15.64
SWANCORP,Chemicals,,,-39.7,-0.5
SWIGGY,Consumer Services,,,54.0,-17.81
SYNGENE,Healthcare,-88.6,-88.6,-2.8,12.94
SYRMA,Capital Goods,110.7,110.7,45.4,11.0
TBOTEK,Consumer Services,7.4,7.4,85.8,10.3
TVSMOTOR,Automobile and Auto Components,48.6,48.6,31.7,13.14
TATACHEM,Chemicals,,,-1.1,1.47
TATACOMM,Telecommunication,54.8,54.8,6.7,7.7
TCS,Information Technology,-13.9,-13.9,4.9,25.18
TATACONSUM,Fast Moving Consumer Goods,37.9,37.9,15.0,10.98
TATAELXSI,Information Technology,-45.3,-45.3,1.5,20.92
