DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2022-02-09,279571.57440294424,128434.8847929693,-0.027042252065183736,0.0005563782837194609
2022-02-10,280491.0063792626,129254.69515184211,-0.023842468728954347,0.0032887176683893404
2022-02-11,280116.23671739735,127365.3334255454,-0.025146732393747206,-0.00133612006567696
2022-02-14,273518.08562700433,123166.66921419202,-0.04810944682261031,-0.023555046889515818
2022-02-15,277210.8583088891,126631.91340953024,-0.035257955036026245,0.013501018308970547
2022-02-16,275708.57528886956,126498.06392250578,-0.04048616146953243,-0.00541927913352358
2022-02-17,275343.3909474389,126345.38780560593,-0.04175706655055944,-0.001324530225612519
2022-02-18,272845.15913591546,125820.66440630173,-0.0504513481575144,-0.009073149723794693
2022-02-21,269764.4810963647,124849.03824236455,-0.06117264403272915,-0.011290938968120612
2022-02-22,265089.5771492211,123924.88792767836,-0.07744212359601521,-0.017329575517666562
2022-02-23,266675.93644792715,124077.99002422488,-0.07192131707632254,0.005984238670436515
2022-02-24,259941.68984833304,117823.60650572821,-0.09535766756929231,-0.025252546927529318
2022-02-25,264074.69033661427,121344.87955341964,-0.0809741063797137,0.01589972155175534
2022-02-28,263834.99014130177,122375.94240688357,-0.08180830478743395,-0.0009076984810886257
2022-03-02,265071.3388961846,121450.93178036188,-0.07750559589157513,0.004686068190654646
2022-03-03,268038.2392868096,120904.82587330214,-0.06718026604152072,0.011192837380985088
2022-03-04,267189.539457708,118828.15839059209,-0.07013388919208174,-0.003166338621533149
2022-03-07,264275.94119110645,116015.07232925587,-0.08027371837147335,-0.010904612031275795
2022-03-08,263185.1065645272,117233.8752713219,-0.08407001276911541,-0.004127635007798225
2022-03-09,264940.0114659554,119567.55882674515,-0.07796263821081206,0.00666794912651314
2022-03-10,263814.2645482308,121358.56101736634,-0.08188043345932061,-0.004249063444572543
2022-03-11,265743.1136998421,121770.39145775497,-0.07516770262942263,0.007311390666893569
2022-03-14,266792.963789869,122945.99505212111,-0.07151404155374597,0.00395062011357572
2022-03-15,265220.6642445809,121588.20580964407,-0.07698591768396212,-0.005893332128977913
2022-03-16,265307.8630437142,123862.87865518726,-0.07668245068303925,0.0003287783000682776
2022-03-17,267080.9641942269,125914.74744042612,-0.07051175001024113,0.006683183567086859
2022-03-21,266764.1656026131,124893.94150865119,-0.07161426425870765,-0.0011861518943123706
2022-03-22,265769.1130131966,125934.8436566995,-0.07507722049287768,-0.0037300834134476046
2022-03-23,266578.41416065756,125687.66687857067,-0.07226071161311665,0.003045128676863129
2022-03-24,269065.2632970101,125723.5828095663,-0.06360604369730105,0.009328771589337315
2022-03-25,269686.0625600106,125316.03722327089,-0.06144555419067477,0.0023072441808114075
2022-03-28,270178.913840223,125522.58723666419,-0.059730345937881846,0.0018275000032779154
2022-03-29,269493.59385487146,126258.57983564369,-0.062115378790332354,-0.0025365413444397023
2022-03-30,267172.9630489022,127413.23525444308,-0.07019157798041786,-0.008611079665288623
2022-03-31,267680.1745967538,127392.70470598091,-0.06842639349634394,0.0018984389066296625
2022-04-01,267545.1030556161,129041.72203358007,-0.06889646597333343,-0.0005046004671103166
2022-04-04,269674.0659462411,131581.11199564533,-0.06148730449501438,0.007957398084697642
2022-04-05,270913.1445824105,131634.9942446809,-0.05717509513704877,0.004594726718795572
2022-04-06,272257.0060860116,131099.57959149888,-0.05249822315937236,0.004960488372288241
2022-04-07,270429.94827045983,130016.33840758617,-0.058856702419512796,-0.006710783468229842
2022-04-08,272400.45857777185,131223.59813648104,-0.051998983515224806,0.007286583161053128
2022-04-11,271684.9103828866,131079.04904303674,-0.05448921579910837,-0.0026268244870849555
2022-04-12,270568.1710869271,129703.72781470853,-0.058375662955789,-0.0041104207605260346
2022-04-13,271397.45226826257,129480.0634425687,-0.05548962007993519,0.0030649620685392343
2022-04-18,269432.7534157235,127662.55028334746,-0.062327114109930526,-0.007239194163831231
2022-04-19,269572.4601952035,125957.08647629051,-0.061840910196587884,0.000518521886106571
2022-04-20,266953.686322828,127014.66029835446,-0.07095469915978425,-0.009714545285817278
2022-04-21,270940.02827274863,128756.48272113793,-0.05708153521464454,0.01493270988249229
2022-04-22,271214.1985532052,127395.69491604985,-0.05612737490992348,0.001011922388155062
2022-04-25,269743.0398342187,125498.21451883971,-0.06124726335758357,-0.005424342555936934
2022-04-26,270472.2554714257,127425.63042690762,-0.05870946599513349,0.0027033714666195863
